ID,GPA,Gender,Ethnicity,Major,Skill1,Skill2,Skill3,Project choice,Group Number,,group GPA mean,Rules Broken
13,3.1237208854,F,H,CS,y,y,y,statistics,1
22,3.4572566907,F,H,EE,y,y,-,statistics,1
38,2.4773339917,F,-,CS,y,-,y,statistics,1
66,2.9919567367,M,-,EE,-,y,y,statistics,1
95,3.2579174234,F,-,Civ E,y,y,y,statistics,1
summary,,,,,,,,,,,3.0616371455799998

18,3.7045215443,F,B,Civ E,y,y,y,renewable energy,2
59,2.8084099093,F,-,Civ E,-,y,y,renewable energy,2
60,2.26046711,F,-,CS,y,y,y,robotics,2
68,3.5995299693,M,B,EE,y,-,y,statistics,2
103,3.8913887604,M,B,EE,y,y,y,automotive,2
summary,,,,,,,,,,,3.25286345866,Aggregate: Project choice

3,3.2148217272,M,-,EE,-,y,-,automotive,3
40,3.455054202,F,-,Civ E,y,y,y,automotive,3
44,3.0564556536,F,-,CS,y,y,y,automotive,3
56,2.4034790358,M,N,Mech E,y,-,y,automotive,3
77,3.2442013882,F,-,EE,-,y,y,automotive,3
summary,,,,,,,,,,,3.0748024013600004

2,2.9339069919,F,-,Mech E,y,y,y,robotics,4
25,3.0482022356,F,-,EE,y,y,y,robotics,4
28,3.0531187053,F,-,EE,-,-,y,automotive,4
37,2.6363496767,M,-,Civ E,y,y,-,nanotech,4
99,3.4222658367,F,-,CS,-,y,y,nanotech,4
summary,,,,,,,,,,,3.0187686892400003,Aggregate: Project choice

6,3.1635579168,F,-,Civ E,-,-,-,robotics,5
41,2.2255821972,F,-,Civ E,y,y,y,robotics,5
74,3.7095788541,F,-,EE,y,y,y,robotics,5
86,3.6461426965,F,-,Mech E,y,y,y,robotics,5
96,3.4892035031,M,-,CS,y,y,y,robotics,5
summary,,,,,,,,,,,3.2468130335400005

11,3.1217136627,F,-,EE,-,y,y,robotics,6
23,2.7576422634,F,-,CS,y,y,y,robotics,6
55,3.5954068248,F,-,Civ E,y,-,-,robotics,6
67,2.8453411692,F,-,Civ E,y,y,y,robotics,6
81,3.2220582253,F,-,Mech E,y,y,y,robotics,6
summary,,,,,,,,,,,3.1084324290799996

42,2.7770484807,F,-,Civ E,y,y,y,renewable energy,7
46,3.1180540114,F,-,Mech E,-,y,y,robotics,7
75,3.7756850713,F,-,CS,y,y,y,statistics,7
88,2.3187016192,F,-,EE,y,-,-,statistics,7
101,3.8883801402,F,-,Civ E,y,-,y,statistics,7
summary,,,,,,,,,,,3.17557386456,Aggregate: Project choice

43,2.7174376727,F,-,Civ E,-,y,-,nanotech,8
45,3.0553318909,F,-,EE,y,y,y,nanotech,8
51,2.2737452193,F,-,CS,y,y,y,nanotech,8
83,3.883751237,F,-,EE,y,-,y,nanotech,8
102,2.8953960106,F,-,Mech E,y,y,y,nanotech,8
summary,,,,,,,,,,,2.9651324061

29,2.7455509513,F,-,EE,y,y,y,robotics,9
32,4.0540402505,F,-,CS,y,y,y,robotics,9
53,3.1231054431,F,-,EE,-,y,y,robotics,9
62,2.8396612689,F,-,Mech E,y,-,y,robotics,9
93,3.8268590517,F,-,Civ E,-,y,-,robotics,9
summary,,,,,,,,,,,3.3178433931

4,3.1876776644,M,B,Mech E,y,y,y,nanotech,10
20,2.6208469814,M,-,CS,y,y,y,renewable energy,10
58,3.4329732577,F,B,EE,y,y,y,robotics,10
73,2.5777200458,F,B,EE,-,y,-,automotive,10
79,3.38524157,F,-,Civ E,-,-,y,renewable energy,10
summary,,,,,,,,,,,3.04089190386,Aggregate: Project choice

8,2.848455695,F,H,EE,y,y,y,renewable energy,11
24,3.522403157,F,-,Mech E,-,-,y,renewable energy,11
26,2.8885141062,M,-,CS,y,y,y,renewable energy,11
30,2.9683685061,F,-,Civ E,y,y,-,renewable energy,11
90,2.4227007233,F,H,Civ E,y,-,y,renewable energy,11
summary,,,,,,,,,,,2.93008843752

5,4.2677505198,F,-,Civ E,y,y,y,renewable energy,12
39,2.6002474746,F,-,EE,-,-,y,renewable energy,12
82,2.9559694938,F,-,EE,y,-,y,renewable energy,12
94,3.0327144067,M,-,CS,y,y,y,renewable energy,12
104,2.6901154297,F,-,CS,y,y,y,renewable energy,12
summary,,,,,,,,,,,3.10935946492

14,2.8706651105,M,-,Civ E,y,y,y,nanotech,13
71,2.858300756,M,-,EE,y,y,y,nanotech,13
72,3.2503595133,F,-,Civ E,-,y,y,nanotech,13
76,1.9049770826,F,-,CS,y,-,-,nanotech,13
89,4.030050148,F,-,EE,y,y,y,nanotech,13
summary,,,,,,,,,,,2.98287052208

9,3.4669638346,F,H,Mech E,y,y,-,automotive,14
35,2.6528990285,F,-,EE,y,y,y,automotive,14
80,2.9090256084,F,-,EE,-,y,y,automotive,14
98,3.0343554975,F,-,Mech E,y,y,y,automotive,14
100,3.3293801494,M,H,Mech E,-,-,y,automotive,14
summary,,,,,,,,,,,3.07852482368,Distribute: Major

17,3.0782142391,M,-,Civ E,y,y,-,robotics,15
21,2.5505301791,F,-,Civ E,y,y,y,robotics,15
36,3.0215581781,F,-,EE,y,-,y,robotics,15
64,4.0603215899,F,-,CS,y,y,y,robotics,15
69,3.9917927259,M,-,Mech E,-,y,y,robotics,15
summary,,,,,,,,,,,3.3404833824199995

1,2.024015675,M,-,Mech E,y,y,y,automotive,16
10,2.8919136743,F,-,EE,-,y,-,automotive,16
47,3.0657085412,M,-,CS,-,y,y,automotive,16
57,3.4513814503,M,-,EE,y,-,y,automotive,16
84,4.0719171861,F,-,Civ E,y,y,y,automotive,16
summary,,,,,,,,,,,3.10098730538

48,3.3557411556,F,-,Civ E,y,-,y,renewable energy,17
49,2.7804912544,F,-,EE,y,y,y,renewable energy,17
65,3.0775266253,M,-,Civ E,y,-,y,renewable energy,17
78,2.3325908929,F,-,CS,-,y,-,renewable energy,17
105,2.7501154297,M,-,CS,y,y,y,renewable energy,17
summary,,,,,,,,,,,2.8592930715800002

12,3.024861827,F,-,Civ E,y,y,-,nanotech,18
33,3.0231028284,M,-,EE,y,y,y,statistics,18
50,3.0954767731,F,-,Mech E,-,y,y,automotive,18
54,2.9252327378,F,H,EE,y,-,y,renewable energy,18
87,2.9391604247,F,H,CS,y,y,y,robotics,18
summary,,,,,,,,,,,3.0015669182,Aggregate: Project choice

52,3.2756432963,F,B,EE,y,y,y,statistics,19
61,4.220160605,M,-,Mech E,-,-,y,statistics,19
70,3.4160383855,F,-,Civ E,y,y,y,statistics,19
85,2.7986841752,M,H,EE,y,y,-,statistics,19
91,2.5723254477,F,-,CS,y,y,y,statistics,19
summary,,,,,,,,,,,3.25657038194,Cluster: Ethnicity

15,3.080157248,F,-,EE,-,y,y,automotive,20
16,2.5323835304,M,-,Mech E,y,y,y,automotive,20
63,2.9766085902,F,-,EE,y,-,y,automotive,20
92,3.5266254864,F,-,Civ E,y,y,y,automotive,20
97,3.2194094149,F,-,CS,y,y,-,automotive,20
summary,,,,,,,,,,,3.0670368539800004

7,1.9194501623,F,-,EE,y,y,y,nanotech,21
19,3.0868448476,F,-,EE,y,y,y,nanotech,21
27,3.7874732964,M,-,Civ E,y,y,y,nanotech,21
31,3.9028269657,F,-,Civ E,y,y,y,nanotech,21
34,3.0879781018,F,-,Civ E,y,-,y,nanotech,21
