Group 1, 15, 56, 77, 92, 97
Group 2, 10, 16, 50, 63, 84
Group 3, 1, 9, 35, 80, 100
Group 4, 6, 21, 32, 53, 86
Group 5, 66, 70, 75, 88, 95
Group 6, 2, 23, 36, 74, 93
Group 7, 13, 22, 59, 82, 96
Group 8, 12, 28, 44, 45, 81
Group 9, 25, 29, 46, 55, 60
Group 10, 11, 41, 62, 64, 67
Group 11, 4, 18, 73, 87, 90
Group 12, 3, 40, 47, 57, 98
Group 13, 34, 43, 51, 71, 89
Group 14, 8, 48, 54, 78, 94
Group 15, 33, 61, 85, 91, 101
Group 16, 17, 38, 52, 68, 69
Group 17, 5, 39, 65, 104, 105
Group 18, 19, 31, 72, 76, 102
Group 19, 14, 26, 58, 79, 103
Group 20, 20, 24, 30, 42, 49
Group 21, 7, 27, 37, 83, 99
