Group 1, 11, 36, 41, 60, 86
Group 2, 34, 43, 51, 71, 89
Group 3, 24, 26, 42, 49, 65
Group 4, 29, 32, 53, 62, 93
Group 5, 5, 20, 39, 48, 78
Group 6, 66, 70, 75, 88, 101
Group 7, 10, 16, 57, 80, 92
Group 8, 12, 50, 68, 91, 103
Group 9, 30, 79, 82, 104, 105
Group 10, 7, 14, 37, 83, 99
Group 11, 13, 33, 61, 85, 95
Group 12, 6, 21, 74, 81, 96
Group 13, 1, 3, 44, 63, 98
Group 14, 15, 40, 56, 77, 97
Group 15, 31, 45, 72, 76, 102
Group 16, 8, 54, 59, 90, 94
Group 17, 17, 25, 46, 64, 67
Group 18, 4, 19, 27, 38, 73
Group 19, 2, 23, 55, 58, 69
Group 20, 9, 28, 35, 47, 84
Group 21, 18, 22, 52, 87, 100
