Group 1, 66, 70, 75, 88, 101
Group 2, 34, 43, 51, 71, 89
Group 3, 24, 30, 42, 49, 104
Group 4, 4, 10, 38, 48, 52
Group 5, 11, 29, 32, 55, 81
Group 6, 16, 63, 73, 77, 103
Group 7, 21, 62, 74, 93, 96
Group 8, 35, 47, 57, 84, 98
Group 9, 2, 14, 26, 79, 82
Group 10, 23, 53, 64, 67, 86
Group 11, 12, 18, 50, 68, 91
Group 12, 7, 9, 22, 78, 100
Group 13, 8, 54, 59, 90, 94
Group 14, 17, 36, 46, 58, 87
Group 15, 1, 3, 28, 40, 44
Group 16, 31, 37, 83, 99, 102
Group 17, 13, 33, 61, 85, 95
Group 18, 15, 56, 80, 92, 97
Group 19, 19, 27, 45, 72, 76
Group 20, 5, 20, 39, 65, 105
Group 21, 6, 25, 41, 60, 69
